#{"t_start": 1744852308.4564278, "env_id": "None"}
r,l,t
-23.0,237,5.956513
-48.0,243,6.451416
-23.0,255,7.214191
-21.0,265,7.804815
-22.5,244,12.661883
-23.0,245,13.10335
-22.5,239,13.728423
-21.5,260,14.347875
-22.5,248,20.720571
-23.0,245,20.971462
-21.5,250,21.654005
-22.0,268,22.110087
-22.0,239,28.234425
-47.5,242,28.802113
-22.5,243,29.377681
-21.5,252,31.530661
-22.5,242,36.892641
-47.0,256,37.274802
-47.5,252,38.14634
-48.0,226,38.703061
-48.5,235,42.863939
-47.0,257,43.432336
-47.5,246,44.008282
-47.5,244,44.501849
-22.5,254,49.403985
-21.5,218,49.404082
-22.5,271,50.036666
-22.0,265,50.849335
-48.5,263,55.566768
-48.0,264,55.623559
-22.5,237,55.865422
-23.0,231,56.306811
-22.0,242,61.822941
-22.5,261,62.75579
-47.5,263,63.338835
-22.5,247,63.487162
-23.0,234,67.68586
-22.5,230,67.984446
-21.5,259,68.125848
-22.5,258,68.642699
-48.0,240,72.988616
-48.5,262,73.619869
-48.0,272,73.740814
-22.5,285,74.336322
-48.0,260,78.867291
-21.5,238,79.060146
-48.5,242,79.509062
-48.0,233,79.93264
-23.0,238,86.340169
-22.0,255,87.045589
-48.0,276,87.493901
-23.5,264,88.390253
-48.5,246,92.541139
-23.0,263,93.344523
-47.5,263,93.897665
-21.5,267,95.36006
-23.0,269,99.364624
-22.5,263,100.664181
-48.5,253,100.879218
-48.0,267,101.705734
-22.5,249,105.140732
-47.5,269,106.779867
-48.0,268,106.971817
-47.5,245,108.381033
-48.5,253,114.752279
-48.0,281,116.088057
-48.5,297,117.03639
-47.5,282,117.844914
-47.0,280,122.37716
-23.0,249,124.823002
-47.5,271,126.101655
-22.5,288,126.787862
-22.5,287,131.282336
-22.0,278,132.28826
-22.5,277,132.936073
-22.0,264,133.399677
-48.5,301,138.925397
-48.0,282,140.937574
-23.0,283,141.731342
-22.0,292,142.868853
-48.5,281,147.40253
-23.0,264,148.046812
-21.5,280,149.006291
-23.0,280,150.215014
-48.5,260,154.171735
-19.5,278,155.299455
-48.5,271,155.917301
-48.5,283,157.060643
-48.0,275,161.167876
-23.0,280,161.892435
-22.5,292,163.55898
-22.0,288,164.975079
-21.5,268,170.750625
-48.0,281,172.255843
-22.0,296,174.457991
-48.0,281,175.118341
-21.0,274,179.592215
-20.5,285,181.125618
-22.0,290,182.856324
-21.5,293,184.289701
-22.5,306,187.938307
-22.5,294,190.2462
-21.5,275,192.421571
-22.0,276,193.346529
-47.5,285,199.231198
-22.5,305,201.462621
-48.5,297,202.911962
-48.0,318,205.449667
-21.0,288,208.962118
-47.5,289,210.366859
-22.0,301,211.562962
-20.5,295,212.95304
-48.0,306,216.608061
-23.0,270,217.888942
-22.0,302,220.25896
-21.5,329,221.65519
-48.0,265,224.046973
-48.5,309,225.993335
-21.5,299,227.907572
-22.5,295,230.050559
-47.5,297,233.356253
-22.0,320,235.811941
-21.5,295,237.155764
-23.0,297,239.160263
-48.0,309,241.712319
-22.5,284,243.89642
-47.5,307,246.319591
-22.5,296,248.641061
-48.0,293,251.133382
-22.5,305,253.568509
-23.0,300,255.985708
-48.5,314,257.995409
-47.5,300,260.401472
-21.5,305,262.879731
-48.5,268,265.942113
-47.5,319,269.64994
-23.0,308,270.872725
-48.0,268,272.870247
-22.0,292,274.886441
-48.5,292,278.38244
-22.0,310,280.311116
-47.0,285,281.531712
-48.5,270,282.010701
-48.0,283,284.908193
-22.0,295,287.947054
-22.5,319,287.94712
-47.5,298,288.878031
-48.5,268,292.902102
-48.0,278,298.342404
-21.5,320,299.119924
-22.0,303,300.59252
-22.0,274,302.814101
-22.0,293,306.040133
-22.0,296,307.696604
-47.5,330,309.901024
-48.5,289,311.306605
-22.5,276,315.076661
-22.5,310,317.435429
-47.5,280,319.222947
-48.0,303,320.998438
-48.0,313,327.054529
-23.0,322,331.286078
-21.5,318,333.121467
-23.5,320,334.015487
-48.0,312,338.334436
-22.5,329,341.277293
-22.0,317,342.198964
-23.0,333,343.96259
-22.5,296,345.93525
-22.5,317,352.246211
-21.5,300,352.99865
-21.5,313,354.386061
-21.0,334,357.869337
-22.0,316,361.218915
-48.0,327,361.219005
-48.5,313,364.449517
-22.0,315,368.581017
-48.5,309,372.03593
-21.5,321,372.859746
-21.5,326,374.045548
-48.0,323,377.132521
-47.5,318,381.262562
-22.5,332,381.381462
-48.0,279,382.164667
-23.5,315,386.459207
-47.5,317,389.867226
-22.0,327,390.416422
-47.5,303,391.369982
-48.5,307,397.219025
-22.0,290,401.206838
-22.5,314,402.163297
-48.0,304,402.939955
-21.5,308,408.877339
-21.5,317,414.289005
-19.5,316,414.984977
-22.0,309,415.896819
-22.0,314,419.563659
-22.0,314,423.044724
-48.5,335,423.919024
-21.5,327,424.402317
-23.0,304,427.726926
-48.5,320,432.874075
-21.0,314,434.373213
-23.0,322,434.424022
-21.0,309,438.652385
-48.0,326,442.542889
-47.5,328,443.714075
-21.5,337,444.230651
-48.0,340,448.456937
-21.5,319,452.827242
-21.5,332,453.574872
-48.0,342,454.415009
-47.5,332,458.357368
-22.5,361,463.998317
-22.5,319,464.73305
-22.0,330,465.683247
-21.0,316,468.834882
-20.5,340,473.191293
-22.0,340,474.015881
-23.0,342,475.838164
-47.5,327,478.131301
-21.5,326,483.761975
-48.0,332,484.483001
-22.5,349,486.404652
-22.5,333,489.182487
-48.5,346,496.220193
-21.0,333,496.514492
-22.0,322,498.277721
-22.0,341,500.799997
-47.5,334,505.923388
-47.5,343,506.275699
-22.0,342,507.97092
-47.5,353,511.315193
-47.5,330,515.458844
-22.0,351,516.3947
-47.5,330,517.270428
-21.5,336,520.893354
-47.5,349,526.761586
-47.0,355,527.964166
-20.0,345,529.019507
-20.0,361,533.22512
-22.5,335,537.398648
-48.0,338,538.335578
-20.5,341,539.018249
-22.5,339,544.168114
-21.5,322,548.713729
-21.0,351,548.953318
-48.0,358,550.40892
-21.5,334,553.022071
-47.5,329,559.098642
-22.5,339,559.907311
-48.0,339,561.653228
-22.0,336,564.497088
-22.0,339,569.552266
-47.0,335,570.287515
-21.5,335,571.408917
-48.0,342,574.318862
-21.5,338,578.380654
-22.0,362,579.385926
-22.0,353,581.416817
-22.5,345,584.423163
-20.5,346,591.634169
-47.5,334,591.771841
-21.5,341,593.513187
-22.0,350,596.749975
-47.5,330,601.950972
-47.5,348,603.063056
-22.5,350,604.549428
-47.0,350,608.274957
-47.0,350,612.21473
-19.5,343,612.953677
-47.5,344,614.587006
-21.5,346,617.890936
-47.0,345,624.285046
-48.5,343,625.129581
-21.5,332,626.050771
-21.0,335,629.187518
-22.5,338,635.036149
-47.5,349,635.036217
-47.5,360,637.632368
-22.5,329,640.120988
-47.0,329,645.798266
-22.0,362,646.905611
-22.5,353,648.950891
-21.5,356,651.973986
-22.5,350,659.054245
-47.5,334,660.037498
-22.0,342,662.17153
-21.5,340,664.74612
-22.5,352,670.976893
-20.5,349,671.640279
-22.5,362,673.832714
-21.5,359,677.034348
-21.0,338,682.624978
-48.0,354,682.791172
-21.5,360,684.766201
-20.5,343,686.251569
-46.5,340,693.949036
-48.0,344,694.157052
-47.0,351,696.995772
-47.0,360,698.602173
-47.0,354,704.251088
-21.0,356,704.599652
-22.0,352,707.17538
-22.5,359,709.04791
-22.0,330,714.036462
-21.0,367,715.667915
-47.0,357,718.815921
-21.0,362,722.379677
-22.5,374,728.716104
-48.0,362,729.555578
-48.0,344,731.710378
-47.5,358,734.525453
-46.5,349,739.573749
-21.0,341,740.647327
-21.0,345,742.283471
-22.5,363,745.614793
-23.0,360,750.723466
-22.5,356,751.450689
-21.0,377,754.033103
-22.0,364,757.310723
-21.5,343,760.869988
-47.5,356,761.255243
-22.0,341,763.432378
-19.5,342,767.188962
-48.0,353,773.761714
-47.5,356,774.684608
-48.0,343,775.862453
-22.5,356,780.077286
-21.0,335,784.346892
-21.5,357,785.571522
-21.5,343,787.376379
-22.0,350,793.042091
-48.5,322,795.405838
-22.0,347,797.48658
-22.5,360,799.811112
-47.0,353,803.649368
-48.0,345,804.977316
-22.0,334,807.044665
-22.5,372,812.339028
-22.0,344,814.826031
-21.0,346,818.265013
-23.0,361,821.572083
-47.5,345,827.097965
-22.5,355,829.605985
-47.5,335,832.169173
-21.5,354,834.57172
-47.5,350,838.405706
-48.0,355,840.553801
-21.5,360,843.054879
-22.0,346,844.57281
-21.5,364,850.082003
-21.5,363,852.836879
-21.5,367,855.011821
-21.5,366,857.757897
-23.0,343,861.705085
-19.0,363,865.561301
-48.0,354,867.327977
-47.0,361,869.895239
-22.0,360,872.420912
-47.5,357,875.417775
-21.0,366,876.532226
-48.0,349,878.66312
-48.0,354,881.928821
-21.5,347,884.918441
-21.5,332,886.519012
-47.0,358,889.463655
-22.5,369,895.343286
-21.5,358,897.938828
-22.5,350,900.045172
-22.5,337,901.704047
-48.0,366,907.809924
-23.5,362,911.56637
-48.0,371,912.870149
-20.5,360,913.941278
-47.0,342,919.265167
-47.5,362,923.561162
-23.0,355,925.129219
-22.0,339,927.675349
-21.5,371,934.246644
-22.5,364,937.766819
-22.5,350,939.531775
-22.0,338,940.263522
-22.5,365,947.098675
-22.0,354,950.065838
-22.0,325,951.60543
-21.0,368,952.754796
-22.5,371,959.694843
-22.0,332,961.634528
-21.5,367,962.817181
-48.5,340,966.499124
-47.5,349,974.333838
-22.5,369,976.632344
-21.5,364,977.988431
-21.0,357,979.584303
-47.5,366,987.618682
-22.0,365,989.840563
-21.5,365,991.245897
-22.0,363,992.715764
-48.0,362,999.781082
-21.0,357,1003.251086
-23.0,361,1004.579456
-22.0,349,1005.948932
-22.5,346,1013.05042
-22.5,365,1016.367882
-21.5,353,1017.108942
-48.5,380,1018.562425
-22.0,362,1025.940481
-22.0,360,1028.142992
-23.0,361,1028.846182
-47.0,360,1030.782564
-48.0,373,1038.210294
-22.0,346,1042.361063
-21.5,360,1042.992932
-22.5,368,1045.089496
-47.0,346,1052.42276
-21.0,342,1054.903546
-23.0,371,1056.393793
-22.0,348,1057.465455
-21.0,349,1063.647472
-21.5,368,1067.071476
-22.5,362,1068.503578
-47.5,359,1069.601753
-22.5,383,1077.566502
-22.0,358,1079.720439
-21.5,379,1081.574794
-21.0,364,1082.623239
-21.0,365,1089.912916
-21.0,366,1093.445907
-22.5,375,1096.06504
-22.5,384,1096.883727
-20.5,369,1104.411291
-20.0,380,1108.433353
-22.5,393,1110.884686
-21.0,365,1111.889996
-47.0,355,1119.974341
-21.0,366,1123.074984
-21.0,356,1125.180126
-21.5,373,1125.929643
-22.0,376,1133.94816
-21.5,361,1136.712087
-22.0,355,1138.874509
-21.5,369,1139.58584
-22.5,362,1146.115809
-20.0,347,1148.908827
-47.0,345,1151.501406
-21.0,355,1151.68676
-20.5,360,1159.510203
-21.5,347,1162.048546
-21.0,357,1164.839197
-48.0,361,1165.02031
-21.5,362,1171.347662
-19.5,362,1174.280331
-22.0,366,1176.588013
-22.5,371,1176.880877
-21.0,366,1184.177825
-20.5,353,1187.512647
-21.5,361,1191.291298
-48.0,382,1192.743655
-21.5,369,1199.976879
-21.5,379,1203.433361
-20.5,369,1206.139477
-22.0,385,1208.602954
-20.0,385,1214.873229
-22.0,363,1217.050962
-21.5,382,1219.875572
-47.5,373,1222.3181
-21.0,380,1229.327262
-22.5,358,1233.388033
-22.5,371,1238.000382
-21.5,365,1239.776589
-21.5,365,1245.558247
-22.0,376,1248.08996
-20.5,374,1251.210388
-22.5,368,1253.108584
-22.0,369,1260.058837
-20.5,361,1261.981424
-21.5,362,1266.906541
-22.0,378,1268.012193
-21.5,371,1276.004452
-22.5,360,1277.422986
-22.5,382,1283.060238
-21.0,369,1284.676463
-21.0,350,1290.561973
-22.0,367,1292.044436
-22.0,379,1298.311813
-47.0,368,1299.304034
-20.5,366,1305.461982
-22.0,371,1306.933213
-48.0,367,1313.401034
-21.0,364,1314.196394
-21.5,363,1321.465395
-22.0,379,1323.436599
-21.5,355,1328.008786
-21.5,368,1328.469599
-21.0,384,1335.351652
-23.0,351,1337.272592
-20.5,362,1343.924826
-23.5,371,1345.381487
-21.5,352,1351.274993
-20.5,370,1353.182738
-48.0,349,1359.704
-20.5,372,1360.586736
-21.0,366,1367.69469
-22.0,349,1369.548239
-21.5,362,1377.858564
-21.0,358,1378.531436
-21.0,371,1384.582156
-21.5,381,1386.432766
-21.5,359,1390.501225
-22.0,366,1390.75788
-20.0,359,1397.577324
-21.0,369,1400.815938
-48.5,355,1405.205222
-48.5,372,1406.987
-22.0,369,1414.624129
-22.0,363,1417.478714
-21.0,355,1423.198386
-22.5,384,1426.069325
-21.0,358,1433.671352
-21.5,368,1435.589269
-22.0,384,1441.617467
-21.0,360,1443.022115
-22.5,366,1450.121447
-21.5,352,1453.731567
-22.0,357,1459.373098
-22.5,369,1461.26868
-21.0,364,1467.731072
-23.0,378,1470.304668
-21.5,369,1475.308414
-48.0,363,1476.968439
-22.5,365,1483.458085
-22.5,349,1484.878439
-22.5,371,1491.496578
-22.0,354,1492.605817
-48.0,362,1500.919308
-21.0,367,1502.396157
-21.0,365,1509.107506
-23.0,363,1509.907917
-47.0,337,1516.059971
-22.0,350,1517.982027
-21.5,343,1524.778213
-21.0,356,1526.158534
-21.5,357,1532.732996
-22.5,326,1534.207195
-20.5,349,1540.849278
-22.5,361,1542.35873
-21.5,353,1550.304364
-20.5,344,1550.91098
-21.5,367,1557.369612
-21.0,369,1558.882959
-20.0,334,1564.933315
-20.0,344,1565.5318
-22.0,368,1572.034219
-22.0,364,1574.124681
-21.0,366,1579.313604
-21.5,381,1580.421426
-21.5,353,1587.161457
-47.0,362,1589.361914
-20.5,350,1596.00196
-21.0,349,1597.170169
-47.0,370,1603.699392
-22.0,356,1606.385892
-22.0,342,1610.207001
-22.5,363,1611.653768
-22.5,353,1618.143147
-21.5,349,1620.15059
-20.5,364,1624.883409
-22.0,371,1626.642427
-47.0,350,1633.925035
-48.0,368,1637.03043
-21.0,328,1640.361587
-21.5,352,1641.067014
-21.5,349,1648.141403
-47.5,367,1651.445065
-22.5,345,1654.626334
-22.5,353,1655.000674
-22.0,343,1663.144172
-21.5,351,1667.702856
-21.0,362,1670.83732
-22.0,371,1671.697453
-21.5,358,1681.14131
-48.0,346,1684.346384
-22.0,345,1688.816056
-22.5,386,1691.942978
-21.0,345,1698.948179
-21.0,366,1702.013931
-20.5,352,1705.564641
-22.5,344,1708.326759
-22.5,358,1716.73185
-21.5,372,1721.138812
-19.5,321,1724.335358
-21.5,360,1724.335426
-22.5,376,1734.253232
-23.0,349,1738.585336
-21.0,353,1741.675605
-20.5,370,1743.363547
-20.5,355,1753.950549
-48.5,362,1757.069101
-19.5,330,1758.851135
-20.5,355,1761.019615
-22.0,368,1770.661832
-22.0,354,1773.592922
-21.5,351,1775.647556
-21.0,352,1778.403816
-22.0,357,1789.947676
-23.0,371,1793.308722
-21.0,362,1794.953174
-22.0,362,1798.540735
-48.5,379,1809.26211
-22.0,364,1812.249234
-21.5,367,1813.50741
-23.0,359,1816.017252
-20.5,361,1825.203858
-21.0,373,1827.683245
-20.0,347,1829.100572
-21.5,358,1831.487313
-22.5,343,1842.904046
-21.5,345,1846.245243
-21.5,351,1848.020891
-22.5,357,1851.515907
-21.0,374,1862.376555
-22.5,364,1864.101947
-23.0,374,1865.746261
-21.0,354,1867.561018
-23.0,368,1880.340806
-20.0,373,1882.358354
-22.5,359,1883.753821
-21.0,358,1886.725509
-22.0,358,1901.911356
-21.5,365,1903.639294
-20.5,361,1904.96411
-21.5,364,1906.905007
